VARS   INDEX X_AXIS Y_AXIS DX DY X_PPM Y_PPM X_HZ Y_HZ XW YW XW_HZ YW_HZ X1 X3 Y1 Y3 HEIGHT DHEIGHT VOL PCHI2 TYPE ASS CLUSTID MEMCNT
FORMAT %5d %9.3f %9.3f %6.3f %6.3f %8.3f %8.3f %9.3f %9.3f %7.3f %7.3f %8.3f %8.3f %4d %4d %4d %4d %+e %+e %+e %.5f %d %s %4d %4d

NULLVALUE -666
NULLSTRING *

   71   845.021   601.739  0.001  0.006    7.920  115.529  4752.796  7026.244   3.265   4.856    6.687   10.093  843  847  599  605 +1.005882e+02 +2.465375e-02 +1.680099e+03 0.00000 1 None   46    1
   72  1153.066   601.750  0.001  0.007    6.868  115.529  4121.869  7026.222   3.227   4.834    6.609   10.048 1151 1155  599  605 +9.280853e+01 +2.467356e-02 +1.529590e+03 0.00000 1 None   47    1
   73  1022.255   606.897  0.004  0.012    7.315  115.353  4389.790  7015.522   4.030   5.021    8.254   10.437 1019 1025  603  611 +4.399928e+01 +2.464697e-02 +1.256436e+03 0.00000 1 None   48    2
   74  1024.559   606.897  0.007  0.014    7.307  115.353  4385.072  7015.522   4.334   4.986    8.876   10.365 1022 1027  603  611 +3.901241e+01 +2.494500e-02 +1.122184e+03 0.00000 1 None   48    2
   75  1223.903   617.030  0.003  0.013    6.627  115.006  3976.784  6994.459   3.923   4.890    8.034   10.164 1221 1227  614  620 +3.813845e+01 +2.446624e-02 +8.666059e+02 0.00000 1 None   49    1
   76  1336.583   617.044  0.005  0.010    6.242  115.006  3745.997  6994.429   3.985   4.813    8.162   10.005 1334 1340  614  620 +4.726479e+01 +2.498795e-02 +1.052287e+03 0.00000 1 None   50    1
   77   444.022   619.384  0.004  0.028    9.288  114.926  5574.104  6989.567   3.897   5.098    7.982   10.597  441  447  616  623 +3.076537e+01 +2.471361e-02 +8.540318e+02 0.00000 1 None   51    2
   78   447.985   619.367  0.003  0.025    9.275  114.927  5565.989  6989.602   3.675   5.020    7.527   10.436  445  451  616  623 +3.307524e+01 +2.471208e-02 +8.536083e+02 0.00000 1 None   51    2
   79   537.621   621.464  0.035  0.026    8.969  114.855  5382.398  6985.242   9.590   4.970   19.642   10.332  534  543  618  625 +3.626863e+01 +2.482053e-02 +1.373857e+03 0.00000 1 None   52    2
   80   539.702   621.478  0.009  0.027    8.962  114.854  5378.136  6985.213   5.197   5.020   10.645   10.434  536  543  618  625 +3.612236e+01 +2.497292e-02 +1.227289e+03 0.00000 1 None   52    2
